City;District;Province;Population;Latitude;Longitude
Złotoryja;powiat złotoryjski;dolnośląskie;15273;51,119;15,909
Łapy;powiat białostocki;podlaskie;15412;52,989;22,89
Solec Kujawski;powiat bydgoski;kujawsko-pomorskie;15614;53,069;18,23
Ustka;powiat słupski;pomorskie;15199;54,58;16,85
Boguszów-Gorce;powiat wałbrzyski;dolnośląskie;15154;50,76;16,189
Przeworsk;powiat przeworski;podkarpackie;15105;50,069;22,5
Nisko;powiat niżański;podkarpackie;15193;50,529;22,139
Limanowa;powiat limanowski;małopolskie;15067;49,709;20,419
Jędrzejów;powiat jędrzejowski;świętokrzyskie;14812;50,65;20,299
Ząbkowice Śląskie;powiat ząbkowicki;dolnośląskie;14728;50,59;16,819
Staszów;powiat staszowski;świętokrzyskie;14534;50,56;21,18
Grodzisk Wielkopolski;powiat grodziski;wielkopolskie;14713;52,23;16,36
Nowy Tomyśl;powiat nowotomyski;wielkopolskie;14319;52,31;16,12
Chełmża;powiat toruński;kujawsko-pomorskie;14362;53,18;18,609
Siemiatycze;powiat siemiatycki;podlaskie;14210;52,419;22,87
Lipno;powiat lipnowski;kujawsko-pomorskie;14283;52,839;19,169
Skoczów;powiat cieszyński;śląskie;14116;49,8;18,799
Kartuzy;powiat kartuski;pomorskie;14276;54,329;18,2
Głowno;powiat zgierski;łódzkie;13961;51,979;19,7
Ostrzeszów;powiat ostrzeszowski;wielkopolskie;13964;51,419;17,95
Kępno;powiat kępiński;wielkopolskie;13889;51,28;18
Łęczyca;powiat łęczycki;łódzkie;13786;52,069;19,199
Mosina;powiat poznański;wielkopolskie;14255;52,259;16,84
Lubsko;powiat żarski;lubuskie;13733;51,79;14,96
Pszów;powiat wodzisławski;śląskie;13734;50,039;18,4
Wschowa;powiat wschowski;lubuskie;13717;51,799;16,319
Żnin;powiat żniński;kujawsko-pomorskie;13623;52,85;17,709
Leżajsk;powiat leżajski;podkarpackie;13585;50,259;22,42
Morąg;powiat ostródzki;warmińsko-mazurskie;13459;53,919;19,93
Nidzica;powiat nidzicki;warmińsko-mazurskie;13547;53,369;20,429
Słupca;powiat słupecki;wielkopolskie;13564;52,29;17,879
Gołdap;powiat gołdapski;warmińsko-mazurskie;13600;54,31;22,309
Człuchów;powiat człuchowski;pomorskie;13479;53,67;17,35
Tuchola;powiat tucholski;kujawsko-pomorskie;13534;53,589;17,85
Wąbrzeźno;powiat wąbrzeski;kujawsko-pomorskie;13400;53,28;18,94
Głuchołazy;powiat nyski;opolskie;13388;50,32;17,37
Brwinów;powiat pruszkowski;mazowieckie;13687;52,179;20,799
Chojnów;powiat legnicki;dolnośląskie;13236;51,28;15,93
Trzebnica;powiat trzebnicki;dolnośląskie;13314;51,31;17,06
Włodawa;powiat włodawski;lubelskie;12915;51,549;23,559
Wolsztyn;powiat wolsztyński;wielkopolskie;12859;52,109;16,109
Koluszki;powiat łódzki wschodni;łódzkie;12776;51,75;19,819
Kłobuck;powiat kłobucki;śląskie;12756;50,909;18,94
Węgrów;powiat węgrowski;mazowieckie;12452;52,399;22,01
Golub-Dobrzyń;powiat golubsko-dobrzyński;kujawsko-pomorskie;12412;53,11;19,04
Brzeziny;powiat brzeziński;łódzkie;12365;51,809;19,749
Brzeg Dolny;powiat wołowski;dolnośląskie;12480;51,27;16,739
Strzelin;powiat strzeliński;dolnośląskie;12383;50,78;17,069
Wołów;powiat wołowski;dolnośląskie;12298;51,329;16,629
Błonie;powiat warszawski zachodni;mazowieckie;12134;52,199;20,62
Aleksandrów Kujawski;powiat aleksandrowski;kujawsko-pomorskie;12058;52,88;18,7
Pasłęk;powiat elbląski;warmińsko-mazurskie;12107;54,069;19,659
Lubaczów;powiat lubaczowski;podkarpackie;11830;50,16;23,119
Góra Kalwaria;powiat piaseczyński;mazowieckie;11988;51,99;21,209
Janów Lubelski;powiat janowski;lubelskie;11661;50,71;22,41
Warka;powiat grójecki;mazowieckie;11926;51,799;21,19
Szprotawa;powiat żagański;lubuskie;11530;51,569;15,52
Dąbrowa Tarnowska;powiat dąbrowski;małopolskie;11828;50,179;21
Mogilno;powiat mogileński;kujawsko-pomorskie;11652;52,65;17,96
Góra;powiat górowski;dolnośląskie;11574;51,669;16,52
Szydłowiec;powiat szydłowiecki;mazowieckie;11557;51,229;20,859
Miechów;powiat miechowski;małopolskie;11500;50,36;20,019
Zdzieszowice;powiat krapkowicki;opolskie;11246;50,419;18,12
Krosno Odrzańskie;powiat krośnieński;lubuskie;11155;52,06;15,1
Milicz;powiat milicki;dolnośląskie;11199;51,53;17,27
Węgorzewo;powiat węgorzewski;warmińsko-mazurskie;11144;54,22;21,749
Puck;powiat pucki;pomorskie;11139;54,709;18,4
Brzeszcze;powiat oświęcimski;małopolskie;11092;49,99;19,149
Wronki;powiat szamotulski;wielkopolskie;11064;52,7;16,36
Koronowo;powiat bydgoski;kujawsko-pomorskie;11070;53,31;17,929
Nowa Dęba;powiat tarnobrzeski;podkarpackie;11006;50,439;21,759
Wisła;powiat cieszyński;śląskie;11007;49,659;18,87
Rogoźno;powiat obornicki;wielkopolskie;11124;52,75;16,979
Kowary;powiat jeleniogórski;dolnośląskie;10650;50,799;15,829
Nowe Miasto Lubawskie;powiat nowomiejski;warmińsko-mazurskie;10709;53,43;19,59
Pińczów;powiat pińczowski;świętokrzyskie;10524;50,539;20,529
Czarnków;powiat czarnkowsko-trzcianecki;wielkopolskie;10464;52,91;16,549
Parczew;powiat parczewski;lubelskie;10555;51,639;22,9
Międzychód;powiat międzychodzki;wielkopolskie;10476;52,61;15,899
Biskupiec;powiat olsztyński;warmińsko-mazurskie;10628;53,87;20,95
Ciechocinek;powiat aleksandrowski;kujawsko-pomorskie;10534;52,88;18,79
Miastko;powiat bytowski;pomorskie;10211;54;16,969
Syców;powiat oleśnicki;dolnośląskie;10340;51,3;17,709
Murowana Goślina;powiat poznański;wielkopolskie;10410;52,58;17,01
Lubawa;powiat iławski;warmińsko-mazurskie;10374;53,5;19,749
Kolno;powiat kolneński;podlaskie;10143;53,419;21,929
Dobre Miasto;powiat olsztyński;warmińsko-mazurskie;10010;53,99;20,39
Bukowno;powiat olkuski;małopolskie;9976;50,29;19,44
Bystrzyca Kłodzka;powiat kłodzki;dolnośląskie;9878;50,299;16,639
Drezdenko;powiat strzelecko-drezdenecki;lubuskie;9978;52,829;15,829
Sulęcin;powiat sulęciński;lubuskie;10005;52,45;15,109
Krzeszowice;powiat krakowski;małopolskie;9969;50,13;19,63
Włoszczowa;powiat włoszczowski;świętokrzyskie;9798;50,86;19,969
Mońki;powiat moniecki;podlaskie;9933;53,4;22,78
Sztum;powiat sztumski;pomorskie;9798;53,849;18,959
Strzelce Krajeńskie;powiat strzelecko-drezdenecki;lubuskie;9833;52,869;15,529
Władysławowo;powiat pucki;pomorskie;9830;54,789;18,4
Kudowa-Zdrój;powiat kłodzki;dolnośląskie;9772;50,429;16,229
Nowy Dwór Gdański;powiat nowodworski;pomorskie;9862;54,22;19,12
Czersk;powiat chojnicki;pomorskie;9900;53,8;17,97
Karczew;powiat otwocki;mazowieckie;9811;52,08;21,249
Maków Mazowiecki;powiat makowski;mazowieckie;9575;52,86;21,1
Skwierzyna;powiat międzyrzecki;lubuskie;9454;52,589;15,489
Ryki;powiat rycki;lubelskie;9531;51,639;21,929
Opalenica;powiat nowotomyski;wielkopolskie;9545;52,31;16,399
Blachownia;powiat częstochowski;śląskie;9457;50,79;18,959
Szubin;powiat nakielski;kujawsko-pomorskie;9578;53,01;17,719
Kożuchów;powiat nowosolski;lubuskie;9337;51,75;15,6
Wysokie Mazowieckie;powiat wysokomazowiecki;podlaskie;9336;52,91;22,509
Olesno;powiat oleski;opolskie;9353;50,889;18,409
Czarna Białostocka;powiat białostocki;podlaskie;9198;53,589;22,579
Poniatowa;powiat opolski;lubelskie;8980;51,18;22,12
Sucha Beskidzka;powiat suski;małopolskie;9044;49,75;19,59
Ustrzyki Dolne;powiat bieszczadzki;podkarpackie;8917;49,43;22,61
Sępólno Krajeńskie;powiat sępoleński;kujawsko-pomorskie;9004;53,449;17,53
Chełmek;powiat oświęcimski;małopolskie;8912;50,11;19,249
Stary Sącz;powiat nowosądecki;małopolskie;9016;49,57;20,64
Wojkowice;powiat będziński;śląskie;8877;50,36;19,01
Lwówek Śląski;powiat lwówecki;dolnośląskie;8753;51,11;15,6
Kruszwica;powiat inowrocławski;kujawsko-pomorskie;8709;52,68;18,299
Orneta;powiat lidzbarski;warmińsko-mazurskie;8648;54,119;20,129
Ziębice;powiat ząbkowicki;dolnośląskie;8531;50,599;17,05
Janikowo;powiat inowrocławski;kujawsko-pomorskie;8638;52,429;17,03
Ozimek;powiat opolski;opolskie;8480;50,689;18,219
Grodków;powiat brzeski;opolskie;8501;50,7;17,37
Kalety;powiat tarnogórski;śląskie;8548;50,57;18,899
Wolbrom;powiat olkuski;małopolskie;8480;50,39;19,77
Poręba;powiat zawierciański;śląskie;8461;50,489;19,339
Opole Lubelskie;powiat opolski;lubelskie;8320;51,149;21,969
Suchedniów;powiat skarżyski;świętokrzyskie;8248;51,069;20,83
Żychlin;powiat kutnowski;łódzkie;7964;52,25;19,62
Zawadzkie;powiat strzelecki;opolskie;7032;50,619;18,459
Pieszyce;powiat dzierżoniowski;dolnośląskie;7012;50,72;16,59
Ostrów Mazowiecka;powiat ostrowski;mazowieckie;22216;52,799;21,9
Drawsko Pomorskie;powiat drawski;zachodniopomorskie;11417;53,529;15,8
Kamień Pomorski;powiat kamieński;zachodniopomorskie;8677;53,97;14,779
Szczecin;powiat Szczecin;zachodniopomorskie;398255;53,43;14,529
Koszalin;powiat Koszalin;zachodniopomorskie;106235;54,189;16,18
Kołobrzeg;powiat kołobrzeski;zachodniopomorskie;46198;54,189;15,569
Świnoujście;powiat Świnoujście;zachodniopomorskie;40948;53,909;14,249
Szczecinek;powiat szczecinecki;zachodniopomorskie;39827;53,71;16,689
Police;powiat policki;zachodniopomorskie;32243;53,549;14,559
Wałcz;powiat wałecki;zachodniopomorskie;24949;53,27;16,47
Białogard;powiat białogardzki;zachodniopomorskie;23950;54,009;15,979
Goleniów;powiat goleniowski;zachodniopomorskie;21979;53,57;14,819
Gryfino;powiat gryfiński;zachodniopomorskie;20923;53,229;14,479
Nowogard;powiat goleniowski;zachodniopomorskie;16448;53,66;15,109
Gryfice;powiat gryficki;zachodniopomorskie;16212;53,919;15,19
Świdwin;powiat świdwiński;zachodniopomorskie;15338;53,77;15,779
Choszczno;powiat choszczeński;zachodniopomorskie;14998;53,18;15,4
Dębno;powiat myśliborski;zachodniopomorskie;13626;52,74;14,699
Barlinek;powiat myśliborski;zachodniopomorskie;13611;52,999;15,199
Darłowo;powiat sławieński;zachodniopomorskie;13574;54,419;16,41
Złocieniec;powiat drawski;zachodniopomorskie;12706;53,529;16
Pyrzyce;powiat pyrzycki;zachodniopomorskie;12484;53,139;14,879
Sławno;powiat sławieński;zachodniopomorskie;12357;54,349;16,67
Myślibórz;powiat myśliborski;zachodniopomorskie;11049;52,929;14,869
Trzebiatów;powiat gryficki;zachodniopomorskie;9899;54,069;15,26
Głubczyce;powiat głubczycki;opolskie;12441;50,189;17,83
Połaniec;powiat staszowski;świętokrzyskie;7988;50,429;21,28
Rydułtowy;powiat wodzisławski;śląskie;21385;50,069;18,429
